participant,session,task,raw,referenced,ref,filtered_downsampled,highpass_freq,lowpass_freq,phase,resample_rate,ref_filt_ds,rereferenced,ref_filt_ds_reref,interpolated,ref_filt_ds_reref_interp,bad_channels_marked,bad_channels,annotated,annotation_labels,annotation_onsets,annotation_durations,ica,n_components,ica_method,random_state,bad_indices_marked,bad_indices,ref_filt_ds_reref_interp_ica,preprocessed,clean,notes,bads_marked
P01,post-training,rc1,data/EEG-recordings/raw/p01/post-training/P01_post_rc1.vhdr,FALSE,data/EEG-recordings/ref/p01/post-training/P01_post_rc1_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p01/post-training/P01_post_rc1_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p01/post-training/P01_post_rc1_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p01/post-training/P01_post_rc1_ref_filt-ds_reref_interp.fif.gz,TRUE,TP9,TRUE,BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_END,119.95308093994778 245.89482375979117 273.46783942558744 310.0,1.6571344647519624 20.83634138381194 5.636866840731045 7.05,TRUE,0.995,picard,666,TRUE,0 2 3 10 13 15,data/ref_filt-ds_reref_interp_ica/p01/post-training/P01_post_rc1_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p01/post-training/P01_post_rc1_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: Some very bad segments, very weird spike around 200 seconds. QUESTIONABLE ICA INDICES: 1, 5, 8, 13, 14.",NA
P01,post-training,rc2,data/EEG-recordings/raw/p01/post-training/P01_post_rc2.vhdr,FALSE,data/EEG-recordings/ref/p01/post-training/P01_post_rc2_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p01/post-training/P01_post_rc2_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p01/post-training/P01_post_rc2_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p01/post-training/P01_post_rc2_ref_filt-ds_reref_interp.fif.gz,TRUE,TP9,TRUE,BAD_SEGMENT BAD_END,56.25138707571801 308.910045691906,1.68975522193211 4.589954308093979,TRUE,0.995,picard,666,TRUE,0 1 2 3 4 5 6 14 15 17 19 21,data/ref_filt-ds_reref_interp_ica/p01/post-training/P01_post_rc2_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p01/post-training/P01_post_rc2_ref_filt-ds_reref_interp_ica.fif.gz,NA,NA
P01,post-training,ro1,data/EEG-recordings/raw/p01/post-training/P01_post_ro1.vhdr,FALSE,data/EEG-recordings/ref/p01/post-training/P01_post_ro1_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p01/post-training/P01_post_ro1_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p01/post-training/P01_post_ro1_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p01/post-training/P01_post_ro1_ref_filt-ds_reref_interp.fif.gz,TRUE,TP9,TRUE,BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_END,108.56250326370757 124.188505 141.66272519582247 199.57374673629243 244.437673 251.231815 255.11525130548304 278.9474281984334 293.966015 310.0,2.21168733681462 3.0940145822454213 2.8575783289817025 1.709327676240207 5.865212140992156 0.9786227154046969 1.3961684073106824 3.1120202349869714 2.048583550913804 2.55,TRUE,0.995,picard,666,TRUE,0 1 2 3 4 5 14 17,data/ref_filt-ds_reref_interp_ica/p01/post-training/P01_post_ro1_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p01/post-training/P01_post_ro1_ref_filt-ds_reref_interp_ica.fif.gz,BADS: Some noisy segments needed to be annotated but nothing crazy. QUESTIONABLE ICA INDICES: 15.,NA
P01,post-training,ro2,data/EEG-recordings/raw/p01/post-training/P01_post_ro2.vhdr,FALSE,data/EEG-recordings/ref/p01/post-training/P01_post_ro2_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p01/post-training/P01_post_ro2_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p01/post-training/P01_post_ro2_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p01/post-training/P01_post_ro2_ref_filt-ds_reref_interp.fif.gz,TRUE,TP9,TRUE,BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_END,40.14880548302872 63.125068537859 197.1386716710183 275.2531919060052 301.95599543080937 311.6375293733681,2.2769288511749366 8.653524804177557 1.7158518276762322 2.5705156657963357 1.0308159268929558 0.812470626631864,TRUE,0.995,picard,666,TRUE,0 1 2 4 19 21 23,data/ref_filt-ds_reref_interp_ica/p01/post-training/P01_post_ro2_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p01/post-training/P01_post_ro2_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: Just some noisy segments. QUESTIONABLE ICA INDICES: 7, 13, 14.",NA
P01,pre-training,rc1,data/EEG-recordings/raw/p01/pre-training/P01_pre_rc1.vhdr,FALSE,data/EEG-recordings/ref/p01/pre-training/P01_pre_rc1_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p01/pre-training/P01_pre_rc1_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p01/pre-training/P01_pre_rc1_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p01/pre-training/P01_pre_rc1_ref_filt-ds_reref_interp.fif.gz,TRUE,NA,TRUE,BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_END,1.631038 113.686146 209.57343 216.362298 308.0358093994778,0.6132702349869457 1.3700718015665814 0.21529699738903219 1.4483616187989696 5.447666449086171,TRUE,0.995,picard,666,TRUE,0 1 2 23 32 34,data/ref_filt-ds_reref_interp_ica/p01/pre-training/P01_pre_rc1_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p01/pre-training/P01_pre_rc1_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: Channel T8 is slightly noisy but tolerable. Some minor noisy segments. QUESTIONABLE ICA INDICES: 22, 31.",NA
P01,pre-training,rc2,data/EEG-recordings/raw/p01/pre-training/P01_pre_rc2.vhdr,FALSE,data/EEG-recordings/ref/p01/pre-training/P01_pre_rc2_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p01/pre-training/P01_pre_rc2_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p01/pre-training/P01_pre_rc2_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p01/pre-training/P01_pre_rc2_ref_filt-ds_reref_interp.fif.gz,TRUE,NA,TRUE,BAD_END,315.7018276762402,8.298172323759786,TRUE,0.995,picard,666,TRUE,0 1 2 3 18 19 20 22 23,data/ref_filt-ds_reref_interp_ica/p01/pre-training/P01_pre_rc2_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p01/pre-training/P01_pre_rc2_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: Channel T8 slightly noisy.  QUESTIONABLE ICA INDICES: 4, 7, 8.",NA
P01,pre-training,ro1,data/EEG-recordings/raw/p01/pre-training/P01_pre_ro1.vhdr,FALSE,data/EEG-recordings/ref/p01/pre-training/P01_pre_ro1_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p01/pre-training/P01_pre_ro1_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p01/pre-training/P01_pre_ro1_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p01/pre-training/P01_pre_ro1_ref_filt-ds_reref_interp.fif.gz,TRUE,NA,TRUE,BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_END,122.60841057441253 162.33439621409923 220.7229308093995 325.3983583550914 342.419595300261,2.0224869451697174 1.4483616187989696 1.4548857702349949 1.6049412532636893 2.270404699738947,TRUE,0.995,picard,666,TRUE,0 1 23 24,data/ref_filt-ds_reref_interp_ica/p01/pre-training/P01_pre_ro1_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p01/pre-training/P01_pre_ro1_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: T7 and T8 slightly noisy. Serial blinker.  QUESTIONABLE ICA INDICES: 2, 13, 15.",NA
P01,pre-training,ro2,data/EEG-recordings/raw/p01/pre-training/P01_pre_ro2.vhdr,FALSE,data/EEG-recordings/ref/p01/pre-training/P01_pre_ro2_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p01/pre-training/P01_pre_ro2_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p01/pre-training/P01_pre_ro2_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p01/pre-training/P01_pre_ro2_ref_filt-ds_reref_interp.fif.gz,TRUE,T7 T8,TRUE,BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT,85.65893929503916 252.27567885117492 282.11257506527414 303.1499151436031 313.79941253263706,3.5230417754569174 1.722375979112286 2.981537206266296 1.4809823759791243 41.114379895561285,TRUE,0.995,picard,666,TRUE,0 1 2 3 4 4 6 7 8 10 11 12 15 17 18 19 21 22,data/ref_filt-ds_reref_interp_ica/p01/pre-training/P01_pre_ro2_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p01/pre-training/P01_pre_ro2_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: Channels T7, T8 got noisier following LDT. QUESTIONABLE ICA INDICES: Artifacts in most indices, rejected liberally because this one was hard to clean.",NA
P02,post-training,rc1,data/EEG-recordings/raw/p02/post-training/P02_post_rc1.vhdr,FALSE,data/EEG-recordings/ref/p02/post-training/P02_post_rc1_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p02/post-training/P02_post_rc1_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p02/post-training/P02_post_rc1_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p02/post-training/P02_post_rc1_ref_filt-ds_reref_interp.fif.gz,TRUE,NA,TRUE,BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_END,40.24541775456919 43.64047650130548 59.527761096605744 118.11729438642297 206.17184725848566 281.87895561357703 291.55149804177546 311.25768603133156,1.4287891644908584 0.3001109660574386 2.224735639686685 1.572320496083563 1.2656853785900637 2.3747911227154077 2.289977154046994 57.59231396866846,TRUE,0.995,picard,666,TRUE,0 1 2 3 4 9 11 12 14 16 17 19 25 30 34 37 38,data/ref_filt-ds_reref_interp_ica/p02/post-training/P02_post_rc1_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p02/post-training/P02_post_rc1_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: Some noisy segments, terrible end. QUESTIONABLE ICA INDICES: 5.",NA
P02,post-training,rc2,data/EEG-recordings/raw/p02/post-training/P02_post_rc2.vhdr,FALSE,data/EEG-recordings/ref/p02/post-training/P02_post_rc2_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p02/post-training/P02_post_rc2_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p02/post-training/P02_post_rc2_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p02/post-training/P02_post_rc2_ref_filt-ds_reref_interp.fif.gz,TRUE,NA,TRUE,BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_END,219.67254242819845 234.27206919060055 250.72418080939948 306.64469321148823,0.5088838120104242 0.4697389033942443 0.6850359007833049 4.955306788511791,TRUE,0.995,picard,666,TRUE,0 1 2 4 5 6 7 8 15 16 29,data/ref_filt-ds_reref_interp_ica/p02/post-training/P02_post_rc2_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p02/post-training/P02_post_rc2_ref_filt-ds_reref_interp_ica.fif.gz,BADS: Some slow waves and minor noise in the middle but otherwise looks quite clean. QUESTIONABLE ICA INDICES: NA.,NA
